タイムスタンプ,匿名番号,今日の理解度,今日わかったこと・気づき,今日の学び方,質問・モヤモヤ
2026/09/25 14:43:10,S17,1,日本に不利な条約を結ばされた流れがわかった,資料集・地図で調べた,とくにありません
2026/09/25 14:45:57,S18,3,関税自主権がないと国内の産業が守れないとわかった,ノートに自分でまとめ直した,
2026/09/25 14:40:09,S19,3,日本に不利な条約を結ばされた流れがわかった。発表があると思うときんちょうする,友だちと話して考えた,
2026/09/25 14:40:59,S20,2,開港地が増えて貿易が始まったことがわかった,ノートに自分でまとめ直した,
2026/09/25 14:43:48,S21,3,開港地が増えて貿易が始まったことがわかった,友だちと話して考えた,
2026/09/25 14:38:42,S22,2,関税自主権がないと国内の産業が守れないとわかった,前に習ったことと結びつけた,
2026/09/25 14:46:26,S23,5,領事裁判権を認めたことがなぜ不平等なのかわかった。家でも動画で調べた,資料集・地図で調べた、前に習ったことと結びつけた,開国しなかったらどうなっていたんですか
2026/09/25 14:48:47,S24,1,日本に不利な条約を結ばされた流れがわかった,友だちと話して考えた、先生に質問した,
2026/09/25 14:47:31,S25,2,関税自主権がないと国内の産業が守れないとわかった,資料集・地図で調べた,
2026/09/25 14:41:13,S26,3,関税自主権がないと国内の産業が守れないとわかった。表にまとめ直した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/25 14:48:03,S27,3,日本に不利な条約を結ばされた流れがわかった,先生に質問した,
2026/09/25 14:41:30,S28,3,関税自主権がないと国内の産業が守れないとわかった,前に習ったことと結びつけた,とくにありません
2026/09/25 14:42:03,S29,3,領事裁判権を認めたことがなぜ不平等なのかわかった,友だちと話して考えた、先生に質問した,
2026/09/25 14:48:41,S30,2,日本に不利な条約を結ばされた流れがわかった,先生に質問した,
2026/09/28 14:42:59,S01,3,生糸が一番の輸出品だったと知った,資料集・地図で調べた,
2026/09/28 14:44:31,S02,3,桜田門外の変で井伊直弼が暗殺されたことを知った,資料集・地図で調べた,攘夷って本当にできると思っていたんですか
2026/09/28 14:50:34,S03,4,桜田門外の変で井伊直弼が暗殺されたことを知った,前に習ったことと結びつけた,とくにありません
2026/09/28 14:39:44,S04,2,貿易が始まって物価が上がり生活が苦しくなったとわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,
2026/09/28 14:41:04,S05,4,尊王攘夷運動が高まった理由がわかった,前に習ったことと結びつけた,
2026/09/28 14:44:26,S06,3,尊王攘夷運動が高まった理由がわかった,資料集・地図で調べた,
2026/09/28 14:45:45,S07,1,わかりません,どれもしていない,
2026/09/28 14:47:46,S08,3,桜田門外の変で井伊直弼が暗殺されたことを知った,先生に質問した,
2026/09/28 14:49:05,S09,3,開国の影響と尊王攘夷をやった,どれもしていない,
2026/09/28 14:44:14,S10,2,生糸が一番の輸出品だったと知った,ノートに自分でまとめ直した,とくにありません
2026/09/28 14:42:07,S11,3,生糸が一番の輸出品だったと知った,友だちと話して考えた,
2026/09/28 14:43:55,S12,3,生糸が一番の輸出品だったと知った,前に習ったことと結びつけた,
2026/09/28 14:49:05,S13,3,貿易が始まって物価が上がり生活が苦しくなったとわかった,資料集・地図で調べた、友だちと話して考えた,
2026/09/28 14:50:00,S14,2,貿易が始まって物価が上がり生活が苦しくなったとわかった,友だちと話して考えた,
2026/09/28 14:45:29,S15,5,ふつうにわかった,どれもしていない,
2026/09/28 14:39:39,S16,3,生糸が一番の輸出品だったと知った,前に習ったことと結びつけた,
2026/09/28 14:51:18,S17,2,尊王攘夷運動が高まった理由がわかった,友だちと話して考えた,
2026/09/28 14:43:07,S18,3,尊王攘夷運動が高まった理由がわかった,資料集・地図で調べた,
2026/09/28 14:43:03,S19,2,尊王攘夷運動が高まった理由がわかった,友だちと話して考えた,
2026/09/28 14:44:33,S20,3,桜田門外の変で井伊直弼が暗殺されたことを知った,ノートに自分でまとめ直した,
2026/09/28 14:44:29,S21,2,桜田門外の変で井伊直弼が暗殺されたことを知った,先生に質問した,
2026/09/28 14:49:23,S22,4,生糸が一番の輸出品だったと知った,友だちと話して考えた,
2026/09/28 14:45:39,S23,4,尊王攘夷運動が高まった理由がわかった。家でも動画で調べた,資料集・地図で調べた、前に習ったことと結びつけた,条約を結び直す方法はなかったんですか
2026/09/28 14:50:56,S24,4,生糸が一番の輸出品だったと知った,資料集・地図で調べた,
2026/09/28 14:38:47,S25,2,生糸が一番の輸出品だったと知った,前に習ったことと結びつけた,
2026/09/28 14:50:36,S26,4,尊王攘夷運動が高まった理由がわかった。表にまとめ直した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/28 14:38:29,S27,2,尊王攘夷運動が高まった理由がわかった,資料集・地図で調べた,
2026/09/28 14:39:55,S28,4,生糸が一番の輸出品だったと知った,資料集・地図で調べた,
2026/09/28 14:38:39,S29,2,尊王攘夷運動が高まった理由がわかった,先生に質問した,
2026/09/28 14:46:24,S30,3,尊王攘夷運動が高まった理由がわかった,資料集・地図で調べた,
2026/09/29 14:46:22,S01,3,薩長同盟が倒幕のきっかけになったとわかった,ノートに自分でまとめ直した,とくにありません
2026/09/29 14:40:32,S02,4,薩長同盟が倒幕のきっかけになったとわかった,資料集・地図で調べた,龍馬はなぜねらわれたんですか
2026/09/29 14:52:11,S03,4,大政奉還で幕府が政権を返した流れがわかった,前に習ったことと結びつけた,
2026/09/29 14:44:00,S04,2,王政復古の大号令で新政府ができたとわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,
2026/09/29 14:40:41,S05,3,坂本龍馬が仲立ちをしたことが印象に残った,友だちと話して考えた,
2026/09/29 14:47:45,S06,3,王政復古の大号令で新政府ができたとわかった,資料集・地図で調べた,
2026/09/29 14:43:15,S07,1,とくにない,どれもしていない,
2026/09/29 14:50:22,S08,3,王政復古の大号令で新政府ができたとわかった,友だちと話して考えた,
2026/09/29 14:50:36,S09,3,江戸幕府の滅亡をやった,どれもしていない,
2026/09/29 14:46:33,S10,4,坂本龍馬が仲立ちをしたことが印象に残った,先生に質問した,
2026/09/29 14:41:00,S11,4,薩長同盟が倒幕のきっかけになったとわかった,友だちと話して考えた,
2026/09/29 14:50:46,S12,3,坂本龍馬が仲立ちをしたことが印象に残った,先生に質問した,
2026/09/29 14:49:25,S13,4,坂本龍馬が仲立ちをしたことが印象に残った,資料集・地図で調べた,とくにありません
2026/09/29 14:47:28,S14,3,王政復古の大号令で新政府ができたとわかった,ノートに自分でまとめ直した、資料集・地図で調べた,
2026/09/29 14:42:31,S15,5,ふつうにわかった,どれもしていない,
2026/09/29 14:42:16,S16,3,大政奉還で幕府が政権を返した流れがわかった,ノートに自分でまとめ直した,
2026/09/29 14:41:12,S17,3,大政奉還で幕府が政権を返した流れがわかった,友だちと話して考えた,
2026/09/29 14:49:14,S18,4,坂本龍馬が仲立ちをしたことが印象に残った,ノートに自分でまとめ直した,
2026/09/29 14:40:22,S19,3,王政復古の大号令で新政府ができたとわかった,友だちと話して考えた,
2026/09/29 14:49:42,S20,3,大政奉還で幕府が政権を返した流れがわかった,資料集・地図で調べた,
2026/09/29 14:42:34,S21,4,坂本龍馬が仲立ちをしたことが印象に残った,資料集・地図で調べた,
2026/09/29 14:38:40,S22,4,坂本龍馬が仲立ちをしたことが印象に残った,ノートに自分でまとめ直した、先生に質問した,
2026/09/29 14:52:31,S23,4,王政復古の大号令で新政府ができたとわかった。家でも動画で調べた,資料集・地図で調べた、前に習ったことと結びつけた,攘夷派と開国派はどっちが多かったんですか
2026/09/29 14:51:00,S24,3,大政奉還で幕府が政権を返した流れがわかった,友だちと話して考えた,
2026/09/29 14:40:53,S25,4,坂本龍馬が仲立ちをしたことが印象に残った,資料集・地図で調べた,
2026/09/29 14:42:49,S26,4,王政復古の大号令で新政府ができたとわかった,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/29 14:47:05,S27,3,坂本龍馬が仲立ちをしたことが印象に残った,資料集・地図で調べた,
2026/09/29 14:42:05,S28,4,薩長同盟が倒幕のきっかけになったとわかった,ノートに自分でまとめ直した,とくにありません
2026/09/29 14:47:15,S29,5,大政奉還で幕府が政権を返した流れがわかった,先生に質問した,
2026/09/29 14:51:55,S30,3,薩長同盟が倒幕のきっかけになったとわかった,ノートに自分でまとめ直した,
2026/09/30 14:47:33,S01,3,江戸時代の260年を年表で振り返って流れがつながった,前に習ったことと結びつけた,とくにありません
2026/09/30 14:38:06,S02,4,次の明治時代と今日のまとめがつながりそうだと思った,資料集・地図で調べた,今日の内容は現在の沖縄とつながりがありますか
2026/09/30 14:46:33,S03,5,次の明治時代と今日のまとめがつながりそうだと思った,前に習ったことと結びつけた,
2026/09/30 14:46:44,S04,2,改革と外国の接近がからみあって幕府がたおれたとわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,
2026/09/30 14:40:56,S05,3,改革と外国の接近がからみあって幕府がたおれたとわかった,友だちと話して考えた,
2026/09/30 14:39:40,S06,4,改革と外国の接近がからみあって幕府がたおれたとわかった,先生に質問した,
2026/09/30 14:51:02,S07,1,わかりません,どれもしていない,
2026/09/30 14:42:14,S08,4,次の明治時代と今日のまとめがつながりそうだと思った,友だちと話して考えた,とくにありません
2026/09/30 14:48:51,S09,3,単元まとめ: 江戸から明治へをやった,資料集・地図で調べた,
2026/09/30 14:43:41,S10,3,一つの出来事に原因がいくつもあることがわかった,ノートに自分でまとめ直した,
2026/09/30 14:50:54,S11,4,改革と外国の接近がからみあって幕府がたおれたとわかった,友だちと話して考えた,
2026/09/30 14:49:29,S12,3,改革と外国の接近がからみあって幕府がたおれたとわかった,前に習ったことと結びつけた,
2026/09/30 14:42:10,S13,4,一つの出来事に原因がいくつもあることがわかった,先生に質問した,
2026/09/30 14:43:56,S14,3,次の明治時代と今日のまとめがつながりそうだと思った,ノートに自分でまとめ直した,
2026/09/30 14:50:41,S15,5,特にむずかしくなかった,資料集・地図で調べた,
2026/09/30 14:46:49,S16,3,一つの出来事に原因がいくつもあることがわかった,ノートに自分でまとめ直した,
2026/09/30 14:43:44,S17,3,一つの出来事に原因がいくつもあることがわかった,ノートに自分でまとめ直した,
2026/09/30 14:50:34,S18,2,改革と外国の接近がからみあって幕府がたおれたとわかった,ノートに自分でまとめ直した,
2026/09/30 14:41:26,S19,4,改革と外国の接近がからみあって幕府がたおれたとわかった,ノートに自分でまとめ直した,
2026/09/30 14:49:53,S20,3,改革と外国の接近がからみあって幕府がたおれたとわかった,友だちと話して考えた,
2026/09/30 14:52:16,S21,2,次の明治時代と今日のまとめがつながりそうだと思った,前に習ったことと結びつけた,
2026/09/30 14:43:47,S22,5,江戸時代の260年を年表で振り返って流れがつながった,先生に質問した、前に習ったことと結びつけた,
2026/09/30 14:39:56,S23,4,改革と外国の接近がからみあって幕府がたおれたとわかった。家でも動画で調べた,資料集・地図で調べた、前に習ったことと結びつけた,
2026/09/30 14:50:02,S24,3,江戸時代の260年を年表で振り返って流れがつながった,ノートに自分でまとめ直した,
2026/09/30 14:45:20,S25,3,江戸時代の260年を年表で振り返って流れがつながった,資料集・地図で調べた,
2026/09/30 14:38:15,S26,4,一つの出来事に原因がいくつもあることがわかった,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/30 14:45:05,S27,3,次の明治時代と今日のまとめがつながりそうだと思った,前に習ったことと結びつけた、ノートに自分でまとめ直した,
2026/09/30 14:39:39,S28,3,江戸時代の260年を年表で振り返って流れがつながった,前に習ったことと結びつけた,
2026/09/30 14:45:02,S29,3,改革と外国の接近がからみあって幕府がたおれたとわかった,資料集・地図で調べた,
2026/09/30 14:40:36,S30,4,改革と外国の接近がからみあって幕府がたおれたとわかった,資料集・地図で調べた,
